Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2020-10-02,11255.6904296875,11255.6904296875,11255.6904296875,11255.6904296875,0
2020-10-05,11509.0595703125,11509.0595703125,11509.0595703125,11509.0595703125,0
2020-10-06,11291.26953125,11291.26953125,11291.26953125,11291.26953125,0
2020-10-07,11503.1904296875,11503.1904296875,11503.1904296875,11503.1904296875,0
2020-10-08,11550.9404296875,11550.9404296875,11550.9404296875,11550.9404296875,0
2020-10-09,11725.849609375,11725.849609375,11725.849609375,11725.849609375,0
2020-10-12,12088.1103515625,12088.1103515625,12088.1103515625,12088.1103515625,0
2020-10-13,12083.169921875,12083.169921875,12083.169921875,12083.169921875,0
2020-10-14,11985.3603515625,11985.3603515625,11985.3603515625,11985.3603515625,0
2020-10-15,11898.5703125,11898.5703125,11898.5703125,11898.5703125,0
2020-10-16,11852.169921875,11852.169921875,11852.169921875,11852.169921875,0
2020-10-19,11634.349609375,11634.349609375,11634.349609375,11634.349609375,0
2020-10-20,11677.83984375,11677.83984375,11677.83984375,11677.83984375,0
2020-10-21,11665.3701171875,11665.3701171875,11665.3701171875,11665.3701171875,0
2020-10-22,11662.91015625,11662.91015625,11662.91015625,11662.91015625,0
2020-10-23,11692.5703125,11692.5703125,11692.5703125,11692.5703125,0
2020-10-26,11504.51953125,11504.51953125,11504.51953125,11504.51953125,0
2020-10-27,11598.9501953125,11598.9501953125,11598.9501953125,11598.9501953125,0
2020-10-29,11350.740234375,11350.740234375,11350.740234375,11350.740234375,0
2020-10-30,11052.9501953125,11052.9501953125,11052.9501953125,11052.9501953125,0
2020-11-02,11084.759765625,11084.759765625,11084.759765625,11084.759765625,0
2020-11-03,11279.91015625,11279.91015625,11279.91015625,11279.91015625,0
2020-11-04,11777.01953125,11777.01953125,11777.01953125,11777.01953125,0
2020-11-05,12078.0703125,12078.0703125,12078.0703125,12078.0703125,0
2020-11-06,12091.349609375,12091.349609375,12091.349609375,12091.349609375,0
2020-11-09,11830.3896484375,11830.3896484375,11830.3896484375,11830.3896484375,0
2020-11-10,11624.2900390625,11624.2900390625,11624.2900390625,11624.2900390625,0
2020-11-11,11892.9296875,11892.9296875,11892.9296875,11892.9296875,0
2020-11-12,11827.1396484375,11827.1396484375,11827.1396484375,11827.1396484375,0
2020-11-13,11937.83984375,11937.83984375,11937.83984375,11937.83984375,0
2020-11-16,12013.3798828125,12013.3798828125,12013.3798828125,12013.3798828125,0
2020-11-17,11977.490234375,11977.490234375,11977.490234375,11977.490234375,0
2020-11-18,11894.7099609375,11894.7099609375,11894.7099609375,11894.7099609375,0
2020-11-19,11985.4296875,11985.4296875,11985.4296875,11985.4296875,0
2020-11-20,11906.4404296875,11906.4404296875,11906.4404296875,11906.4404296875,0
2020-11-23,11905.9404296875,11905.9404296875,11905.9404296875,11905.9404296875,0
2020-11-24,12079.8095703125,12079.8095703125,12079.8095703125,12079.8095703125,0
2020-11-27,12258.2099609375,12258.2099609375,12258.2099609375,12258.2099609375,0
2020-11-30,12268.3203125,12268.3203125,12268.3203125,12268.3203125,0
2020-12-01,12455.330078125,12455.330078125,12455.330078125,12455.330078125,0
2020-12-02,12456.41015625,12456.41015625,12456.41015625,12456.41015625,0
2020-12-03,12467.1298828125,12467.1298828125,12467.1298828125,12467.1298828125,0
